student_id,first_name,last_name,email,gender,date_of_birth,major,enrollment_year,gpa,attendance_rate,participation_rate,financial_aid,first_generation,international_student,current_year,courses,grade_BIO101,grade_BIO201,grade_BIO301,grade_CHEM101,grade_STAT101,grade_MATH101,grade_MATH201,grade_MATH301,grade_MATH401,grade_ENG101,grade_ENG201,grade_ENG301,grade_HIST101,grade_ART101,grade_BUS101,grade_BUS201,grade_BUS301,grade_ECON101,grade_HIST201,grade_HIST301,grade_POL101,grade_CS101,grade_CS201,grade_CS301,grade_CS401,grade_PHYS101,grade_PHYS201,grade_PHYS301,grade_ECON201,grade_ECON301,grade_CHEM201,grade_CHEM301,grade_ART201,grade_ART301,grade_PSY101,grade_PSY201,grade_PSY301
62612480,Tina,Allen,meghan47@example.com,Male,2002-07-28,Biology,2022,2.4862058713908644,0.9023176413255756,0.16572024349694914,False,False,False,2,"BIO101, BIO201, BIO301, CHEM101, STAT101",69.41674348927287,82.66726940236568,60.61889732015924,79.69385931474793,66.11405456259747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855522,Matthew,Olson,andersonmary@example.org,Female,2003-05-25,Mathematics,2020,2.753077622651949,0.8903557773621539,0.7783086196476793,True,True,False,3,"MATH101, MATH201, MATH301, MATH401, STAT101",,,,,86.82931206633596,69.4304103152482,83.44153801556894,71.80079055197892,83.57390912253244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44688676,Shawn,Morrison,angela74@example.net,Female,2006-03-07,English,2021,3.1732534654342155,0.6320206765966554,0.5098348467721993,True,False,False,3,"ENG101, ENG201, ENG301, HIST101, ART101",,,,,,,,,,86.70204303019243,75.96558135364536,90.07655363138002,85.98808995147145,62.41241490284803,,,,,,,,,,,,,,,,,,,,,,,
34462355,Kimberly,Reed,qhuff@example.net,Male,2004-05-29,Business,2021,3.8745665944406142,0.7372684266300098,0.5033576653869666,False,False,False,2,"BUS101, BUS201, BUS301, ECON101, MATH101",,,,,,89.76520207223292,,,,,,,,,84.81252461941835,76.07997827035378,99.12616022705267,100.0,,,,,,,,,,,,,,,,,,,
69414399,Cindy,Moyer,stephanieirwin@example.net,Male,2001-02-06,History,2019,3.3051754734543275,0.8786349427313921,0.7472604015114608,False,False,False,2,"HIST101, HIST201, HIST301, POL101, ENG101",,,,,,,,,,100.0,,,78.16685592142002,,,,,,83.48726767649231,70.19476536459592,69.0100714470469,,,,,,,,,,,,,,,,
93617051,Melissa,Waller,yharris@example.com,Male,2004-09-28,Computer Science,2022,3.1965335347014427,0.8328691874909556,0.4245720098546959,False,True,False,4,"CS101, CS201, CS301, CS401, MATH101",,,,,,89.31909327353162,,,,,,,,,,,,,,,,80.52175556944503,77.70484020457427,74.28156748972376,70.48934652353717,,,,,,,,,,,,
5253062,Sarah,Douglas,pierceeric@example.com,Male,2000-11-18,Business,2019,2.9559112260845937,0.7003921613685165,0.6199604653947339,False,False,False,3,"BUS101, BUS201, BUS301, ECON101, MATH101",,,,,,69.80467215896965,,,,,,,,,92.25549156293374,83.98898372038764,79.18579435158708,85.88213141518044,,,,,,,,,,,,,,,,,,,
54547239,Kevin,Young,whitneywest@example.com,Male,2006-11-15,Physics,2018,2.8230643478860626,0.41036467972751367,0.6644738139839821,True,False,False,2,"PHYS101, PHYS201, PHYS301, MATH101, CHEM101",,,,77.66118318616776,,53.02234168216255,,,,,,,,,,,,,,,,,,,,57.279360101893516,76.20051601063052,76.79820053646868,,,,,,,,,
9744127,Dawn,Robinson,ygonzalez@example.net,Male,2004-05-23,Economics,2018,3.32425648145365,0.8203330022933849,0.6353824811439317,True,False,False,2,"ECON101, ECON201, ECON301, MATH101, STAT101",,,,,83.92459640380233,99.90325937607889,,,,,,,,,,,,82.5774159505156,,,,,,,,,,,87.28907332788776,80.6784909037837,,,,,,,
33311084,Kathleen,Powell,jesussoto@example.org,Other,2006-12-18,Mathematics,2022,3.138157191762678,0.8908675475521124,0.5928427524618132,False,False,False,1,"MATH101, MATH201, MATH301, MATH401, STAT101",,,,,91.1313151815823,57.27856133561188,77.48674327311299,75.41361051300528,81.25565900929756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
